ID	Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B
Q05397	PTK2	-2.859883414	2.340355177	-99.42540524	1.06E-11	8.69E-08	12.49854207
Q15418-2	RPS6KA1	-0.932923811	3.12822104	-19.06254409	5.29E-07	0.001081399	6.609118736
O14965	AURKA	-0.650304047	3.160873158	-19.69938326	4.27E-07	0.001081399	6.437052827
P51948-1	MNAT1	-0.500881548	3.227121572	-14.45430019	3.14E-06	0.005143099	4.712882121
Q9BYT3-1	STK33	-2.07501996	2.675331644	-27.26940008	5.15E-08	0.000210674	4.557334177
P51946	CCNH	-0.472239005	3.208815265	-12.19987756	9.25E-06	0.012619161	4.147641614
P50613	CDK7	-0.566484545	3.167141559	-10.78702636	2.01E-05	0.020554329	3.491867319
P51812	RPS6KA3	-0.652671111	3.181294291	-10.09794821	3.03E-05	0.024836169	3.110945802
O75385	ULK1	-0.684418714	3.194838712	-11.19458156	1.59E-05	0.018611539	2.823711323
P29279-1	CCN2	-0.414459778	3.226636188	-9.043694793	6E-05	0.040942362	2.48649161
Q9H3M7	TXNIP	0.722247283	3.359441507	10.52065257	2.35E-05	0.021366114	1.73343868
P05121-1	SERPINE1	-0.350013153	3.274917049	-7.976615976	0.000128977	0.081195828	1.676424818
P30291-1	WEE1	-0.841541399	3.079213273	-7.210708683	0.000235871	0.120648225	1.048123545
O95235	KIF20A	0.149159973	3.306917563	7.256397406	0.000227203	0.120648225	0.969948347
Q9HB20	PLEKHA3	0.319335372	3.336804759	6.672595558	0.000372077	0.169171083	0.536546473
Q13164-1	MAPK7	-0.336528136	3.272596744	-6.370395714	0.000486762	0.181207288	0.451698331
Q15532	SS18	-0.396970988	3.249732136	-6.3695926	0.000487116	0.181207288	0.400761006
O60508	CDC40	0.111695775	3.314812766	6.5357846	0.000419706	0.171743761	0.288325634
P30304	CDC25A	-0.454270993	3.283260233	-6.773352009	0.000340906	0.16411639	0.277506494
P58557	YBEY	0.494015255	3.352046558	6.609411143	0.000393268	0.16939518	0.197777026
P05412	JUN	-0.313425815	3.267012558	-6.164090036	0.000588041	0.200522134	0.178152016
P01023	A2M	-0.831328714	3.265079273	-6.315095369	0.000511827	0.182121524	0.156432329
P06280	GLA	0.251914573	3.349722111	5.472995319	0.001147919	0.361329646	-0.397371159
Q16690	DUSP5	-0.730504141	3.191718851	-7.331525934	0.000213725	0.120648225	-0.398990773
Q9BU19-5	ZNF692	-1.373813619	2.945567152	-9.509332483	4.41E-05	0.032775062	-0.485145734
Q9Y6A5	TACC3	-0.177795177	3.33172886	-5.591550952	0.001019286	0.333673474	-0.565556534
Q8NFA0	USP32	-0.210929537	3.316333446	-5.228232621	0.001475493	0.447238324	-0.601734118
Q9H211	CDT1	-0.324198755	3.328997715	-5.064180957	0.001753581	0.478376876	-0.769740618
O75530	EED	0.105398993	3.330988538	5.137421634	0.001622758	0.457953617	-0.976513477
P11926	ODC1	-0.575481183	3.272437255	-4.766817958	0.002420569	0.559556929	-1.058485314
P62072	TIMM10	-0.435930417	3.222295849	-4.72697973	0.002529766	0.559556929	-1.111402061
O95208-1	EPN2	-0.262778605	3.279941062	-4.734825961	0.002507832	0.559556929	-1.147932903
Q86SZ2	TRAPPC6B	0.175567421	3.339683583	4.773068245	0.002403919	0.559556929	-1.15742911
Q6UXN9	WDR82	0.131255247	3.347711884	5.142140663	0.001614712	0.457953617	-1.165394777
P49796-3	RGS3	0.178845636	3.342519679	4.683001362	0.002656738	0.564149943	-1.165428139
P60903	S100A10	0.181970339	3.346398168	4.935720498	0.002012563	0.514713054	-1.257510403
Q00537	CDK17	-0.196649386	3.311204435	-4.782331432	0.002379477	0.559556929	-1.265434372
P02771	AFP	-1.141430007	3.123097689	-4.622926634	0.002841816	0.567254184	-1.273987746
P45984-1	MAPK9	-0.213171152	3.297357756	-4.517560023	0.00320214	0.602543293	-1.387042808
Q13085-4	ACACA	-0.087590259	3.340299911	-4.998829311	0.001880344	0.496410816	-1.448924708
O14907	TAX1BP3	-0.228853463	3.372122541	-4.518452494	0.003198882	0.602543293	-1.501627289
O60783	MRPS14	-0.25360143	3.304638837	-4.304320753	0.00409755	0.684301375	-1.516090507
